region,estacion,sitio,taxon_como_en_la_planilla,abundancia
Puna argentina,otoño,Sitio 3,Corixidae,1
Puna argentina,otoño,Sitio 1,Hyalellidae,7
Puna argentina,otoño,Sitio 2,Hyalellidae,145
Puna argentina,otoño,Sitio 3,Hyalellidae,34
Puna argentina,otoño,Sitio 4,Hyalellidae,52
Puna argentina,otoño,Sitio 5,Hyalellidae,23
Puna argentina,otoño,Sitio 6,Hyalellidae,200
Puna argentina,otoño,Sitio 12,Hyalellidae,324
Puna argentina,otoño,Sitio 2,Glossiphoniidae,2
Puna argentina,otoño,Sitio 3,Glossiphoniidae,2
Puna argentina,otoño,Sitio 4,Glossiphoniidae,9
Puna argentina,otoño,Sitio 1,Naididae,1
Puna argentina,otoño,Sitio 3,Hydrachnidae,3
Puna argentina,otoño,Sitio 4,Hydrachnidae,2
Puna argentina,otoño,Sitio 5,Hydrachnidae,1
Puna argentina,primavera,Sitio 1,Baetidae,2
Puna argentina,primavera,Sitio 5,Baetidae,3
Puna argentina,primavera,Sitio 6,Baetidae,1
Puna argentina,primavera,Sitio 11,Baetidae,3
Puna argentina,primavera,Sitio 12,Baetidae,34
Puna argentina,primavera,Sitio 1,Gripopterigidae,3
Puna argentina,primavera,Sitio 5,Gripopterigidae,3
Puna argentina,primavera,Sitio 6,Gripopterigidae,6
Puna argentina,primavera,Sitio 11,Gripopterigidae,9
Puna argentina,primavera,Sitio 12,Gripopterigidae,22
Puna argentina,primavera,Sitio 1,Hydroptylidae,5
Puna argentina,primavera,Sitio 2,Hydroptylidae,2
Puna argentina,primavera,Sitio 5,Hydroptylidae,1
Puna argentina,primavera,Sitio 6,Hydroptylidae,2
Puna argentina,primavera,Sitio 8,Hydroptylidae,1
Puna argentina,primavera,Sitio 11,Hydroptylidae,2
Puna argentina,primavera,Sitio 12,Hydroptylidae,3
Puna argentina,primavera,Sitio 1,Hydropsychidae,1
Puna argentina,primavera,Sitio 5,Hydropsychidae,1
Puna argentina,primavera,Sitio 11,Hydropsychidae,1
Puna argentina,primavera,Sitio 12,Hydropsychidae,5
Puna argentina,primavera,Sitio 5,Limnephilidae,1
Puna argentina,primavera,Sitio 12,Limnephilidae,1
Puna argentina,primavera,Sitio 1,Polycentropodidae,1
Puna argentina,primavera,Sitio 2,Polycentropodidae,5
Puna argentina,primavera,Sitio 3,Polycentropodidae,2
Puna argentina,primavera,Sitio 4,Polycentropodidae,3
Puna argentina,primavera,Sitio 5,Polycentropodidae,7
Puna argentina,primavera,Sitio 6,Polycentropodidae,6
Puna argentina,primavera,Sitio 12,Polycentropodidae,4
Puna argentina,primavera,Sitio 1,Chironomidae,3
Puna argentina,primavera,Sitio 2,Chironomidae,15
Puna argentina,primavera,Sitio 3,Chironomidae,13
Puna argentina,primavera,Sitio 4,Chironomidae,15
Puna argentina,primavera,Sitio 5,Chironomidae,14
Puna argentina,primavera,Sitio 6,Chironomidae,7
Puna argentina,primavera,Sitio 7,Chironomidae,14
Puna argentina,primavera,Sitio 8,Chironomidae,34
Puna argentina,primavera,Sitio 9,Chironomidae,10
Puna argentina,primavera,Sitio 11,Chironomidae,11
Puna argentina,primavera,Sitio 12,Chironomidae,30
Puna argentina,primavera,Sitio 2,Ceratopogonidae,1
Puna argentina,primavera,Sitio 5,Ceratopogonidae,1
Puna argentina,primavera,Sitio 6,Ceratopogonidae,2
Puna argentina,primavera,Sitio 3,Empididae,3
Puna argentina,primavera,Sitio 7,Empididae,3
Puna argentina,primavera,Sitio 5,Simulidae,1
Puna argentina,primavera,Sitio 6,Simulidae,3
Puna argentina,primavera,Sitio 12,Simulidae,3
Puna argentina,primavera,Sitio 3,Ephydridae,5
Puna argentina,primavera,Sitio 6,Ephydridae,1
Puna argentina,primavera,Sitio 7,Ephydridae,4
Puna argentina,primavera,Sitio 5,Muscidae,9
Puna argentina,primavera,Sitio 7,Muscidae,7
Puna argentina,primavera,Sitio 2,Limoniidae,7
Puna argentina,primavera,Sitio 3,Limoniidae,2
Puna argentina,primavera,Sitio 5,Limoniidae,5
Puna argentina,primavera,Sitio 6,Limoniidae,7
Puna argentina,primavera,Sitio 11,Limoniidae,3
Puna argentina,primavera,Sitio 12,Limoniidae,1
Puna argentina,primavera,Sitio 1,Elmidae,1
Puna argentina,primavera,Sitio 5,Elmidae,5
Puna argentina,primavera,Sitio 11,Elmidae,12
Puna argentina,primavera,Sitio 1,Dytiscidae,3
Puna argentina,primavera,Sitio 2,Dytiscidae,5
Puna argentina,primavera,Sitio 3,Dytiscidae,9
Puna argentina,primavera,Sitio 5,Dytiscidae,1
Puna argentina,primavera,Sitio 6,Dytiscidae,6
Puna argentina,primavera,Sitio 11,Dytiscidae,9
Puna argentina,primavera,Sitio 12,Dytiscidae,3
Puna argentina,primavera,Sitio 1,Corixidae,2
Puna argentina,primavera,Sitio 12,Corixidae,2
Puna argentina,primavera,Sitio 2,Coenagrionidae,1
Puna argentina,primavera,Sitio 12,Coenagrionidae,2
Puna argentina,primavera,Sitio 1,Hyalellidae,3
Puna argentina,primavera,Sitio 5,Hyalellidae,2
Puna argentina,primavera,Sitio 7,Hyalellidae,1
Puna argentina,primavera,Sitio 12,Hyalellidae,11
Puna argentina,primavera,Sitio 2,Glossiphoniidae,1
Puna argentina,primavera,Sitio 4,Glossiphoniidae,2
Puna argentina,primavera,Sitio 6,Glossiphoniidae,5
Puna argentina,primavera,Sitio 11,Glossiphoniidae,2
Puna argentina,primavera,Sitio 12,Glossiphoniidae,2
Puna argentina,primavera,Sitio 1,Naididae,1
Puna argentina,primavera,Sitio 3,Naididae,1
Puna argentina,primavera,Sitio 5,Naididae,1
Puna argentina,primavera,Sitio 6,Naididae,2
Puna argentina,primavera,Sitio 7,Naididae,1
Puna argentina,primavera,Sitio 8,Naididae,1
Puna argentina,primavera,Sitio 9,Naididae,1
Puna argentina,primavera,Sitio 11,Naididae,1
Puna argentina,primavera,Sitio 12,Naididae,2
Puna argentina,primavera,Sitio 2,Hydrachnidae,3
Puna argentina,primavera,Sitio 3,Hydrachnidae,3
Puna argentina,primavera,Sitio 4,Hydrachnidae,7
Puna argentina,primavera,Sitio 5,Hydrachnidae,12
Puna argentina,primavera,Sitio 6,Hydrachnidae,1
Puna argentina,primavera,Sitio 7,Hydrachnidae,1
Puna argentina,primavera,Sitio 9,Hydrachnidae,2
Puna argentina,primavera,Sitio 12,Hydrachnidae,2
Puna argentina,verano,Sitio 12,Baetidae,11
Puna argentina,verano,Sitio 12,Gripopterigidae,5
Puna argentina,verano,Sitio 1,Hydroptylidae,3
Puna argentina,verano,Sitio 2,Hydroptylidae,1
Puna argentina,verano,Sitio 12,Hydroptylidae,7
Puna argentina,verano,Sitio 5,Hydropsychidae,1
Puna argentina,verano,Sitio 12,Hydropsychidae,5
Puna argentina,verano,Sitio 12,Limnephilidae,2
Puna argentina,verano,Sitio 2,Polycentropodidae,1
Puna argentina,verano,Sitio 3,Polycentropodidae,1
Puna argentina,verano,Sitio 6,Polycentropodidae,1
Puna argentina,verano,Sitio 12,Polycentropodidae,2
Puna argentina,verano,Sitio 1,Chironomidae,23
Puna argentina,verano,Sitio 2,Chironomidae,39
Puna argentina,verano,Sitio 3,Chironomidae,39
Puna argentina,verano,Sitio 4,Chironomidae,30
Puna argentina,verano,Sitio 5,Chironomidae,9
Puna argentina,verano,Sitio 6,Chironomidae,21
Puna argentina,verano,Sitio 7,Chironomidae,1
Puna argentina,verano,Sitio 8,Chironomidae,23
Puna argentina,verano,Sitio 9,Chironomidae,5
Puna argentina,verano,Sitio 11,Chironomidae,12
Puna argentina,verano,Sitio 12,Chironomidae,121
Puna argentina,verano,Sitio 2,Ceratopogonidae,1
Puna argentina,verano,Sitio 4,Ceratopogonidae,1
Puna argentina,verano,Sitio 12,Ceratopogonidae,12
Puna argentina,verano,Sitio 3,Empididae,3
Puna argentina,verano,Sitio 7,Empididae,1
Puna argentina,verano,Sitio 2,Simulidae,2
Puna argentina,verano,Sitio 5,Simulidae,1
Puna argentina,verano,Sitio 12,Simulidae,13
Puna argentina,verano,Sitio 3,Ephydridae,2
Puna argentina,verano,Sitio 4,Ephydridae,1
Puna argentina,verano,Sitio 6,Ephydridae,1
Puna argentina,verano,Sitio 7,Ephydridae,1
Puna argentina,verano,Sitio 9,Ephydridae,3
Puna argentina,verano,Sitio 11,Ephydridae,2
Puna argentina,verano,Sitio 12,Ephydridae,2
Puna argentina,verano,Sitio 5,Muscidae,1
Puna argentina,verano,Sitio 6,Muscidae,3
Puna argentina,verano,Sitio 7,Muscidae,1
Puna argentina,verano,Sitio 2,limoniidae,1
Puna argentina,verano,Sitio 3,limoniidae,7
Puna argentina,verano,Sitio 6,limoniidae,1
Puna argentina,verano,Sitio 11,limoniidae,3
Puna argentina,verano,Sitio 12,limoniidae,2
Puna argentina,verano,Sitio 1,Elmidae,1
Puna argentina,verano,Sitio 2,Elmidae,24
Puna argentina,verano,Sitio 5,Elmidae,1
Puna argentina,verano,Sitio 6,Elmidae,2
Puna argentina,verano,Sitio 3,Corixidae,3
Puna argentina,verano,Sitio 11,Corixidae,1
Puna argentina,verano,Sitio 12,Corixidae,3
Puna argentina,verano,Sitio 1,Hyalella sp.,2
Puna argentina,verano,Sitio 2,Hyalella sp.,225
Puna argentina,verano,Sitio 3,Hyalella sp.,23
Puna argentina,verano,Sitio 4,Hyalella sp.,49
Puna argentina,verano,Sitio 5,Hyalella sp.,34
Puna argentina,verano,Sitio 6,Hyalella sp.,250
Puna argentina,verano,Sitio 12,Hyalella sp.,123
Puna argentina,verano,Sitio 2,Hirudinea,1
Puna argentina,verano,Sitio 3,Hirudinea,10
Puna argentina,verano,Sitio 4,Hirudinea,16
Puna argentina,verano,Sitio 1,Oligochaeta,3
Puna argentina,verano,Sitio 4,Oligochaeta,1
Puna argentina,verano,Sitio 7,Oligochaeta,1
Puna argentina,verano,Sitio 12,Oligochaeta,1
Puna argentina,verano,Sitio 2,Hidracarina,1
Puna argentina,verano,Sitio 3,Hidracarina,5
Puna argentina,verano,Sitio 4,Hidracarina,1
Puna argentina,verano,Sitio 5,Hidracarina,5
Puna argentina,verano,Sitio 6,Hidracarina,2
Puna argentina,verano,Sitio 11,Hidracarina,2
Puna argentina,verano,Sitio 12,Hidracarina,1
Chaco occidental,primavera,Sitio 13,Caenidae,89
Chaco occidental,primavera,Sitio 14,Caenidae,45
Chaco occidental,primavera,Sitio 15,Caenidae,22
Chaco occidental,primavera,Sitio 13,Baetidae,56
Chaco occidental,primavera,Sitio 14,Baetidae,76
Chaco occidental,primavera,Sitio 15,Baetidae,34
Chaco occidental,primavera,Sitio 13,Hydroptylidae,34
Chaco occidental,primavera,Sitio 14,Hydroptylidae,23
Chaco occidental,primavera,Sitio 15,Hydroptylidae,12
Chaco occidental,primavera,Sitio 13,Hydropsychidae,12
Chaco occidental,primavera,Sitio 14,Hydropsychidae,11
Chaco occidental,primavera,Sitio 15,Hydropsychidae,9
Chaco occidental,primavera,Sitio 13,Limnephilidae,13
Chaco occidental,primavera,Sitio 14,Limnephilidae,13
Chaco occidental,primavera,Sitio 15,Limnephilidae,12
Chaco occidental,primavera,Sitio 13,Polycentropodidae,4
Chaco occidental,primavera,Sitio 14,Polycentropodidae,3
Chaco occidental,primavera,Sitio 15,Polycentropodidae,1
Chaco occidental,primavera,Sitio 13,Chironomidae,165
Chaco occidental,primavera,Sitio 14,Chironomidae,90
Chaco occidental,primavera,Sitio 15,Chironomidae,211
Chaco occidental,primavera,Sitio 13,Ceratopogonidae,18
Chaco occidental,primavera,Sitio 14,Ceratopogonidae,13
Chaco occidental,primavera,Sitio 15,Ceratopogonidae,12
Chaco occidental,primavera,Sitio 13,Empididae,11
Chaco occidental,primavera,Sitio 14,Empididae,8
Chaco occidental,primavera,Sitio 15,Empididae,5
Chaco occidental,primavera,Sitio 13,Simulidae,15
Chaco occidental,primavera,Sitio 14,Simulidae,11
Chaco occidental,primavera,Sitio 15,Simulidae,7
Chaco occidental,primavera,Sitio 13,Elmidae,8
Chaco occidental,primavera,Sitio 14,Elmidae,11
Chaco occidental,primavera,Sitio 15,Elmidae,8
Chaco occidental,primavera,Sitio 13,Psephenidae,4
Chaco occidental,primavera,Sitio 14,Psephenidae,5
Chaco occidental,primavera,Sitio 15,Psephenidae,7
Chaco occidental,primavera,Sitio 13,Corixidae,11
Chaco occidental,primavera,Sitio 14,Corixidae,2
Chaco occidental,primavera,Sitio 15,Corixidae,8
Chaco occidental,primavera,Sitio 13,Mesoveliidae,5
Chaco occidental,primavera,Sitio 14,Mesoveliidae,5
Chaco occidental,primavera,Sitio 15,Mesoveliidae,1
Chaco occidental,primavera,Sitio 13,Gripopterygidae,23
Chaco occidental,primavera,Sitio 14,Gripopterygidae,11
Chaco occidental,primavera,Sitio 15,Gripopterygidae,10
Chaco occidental,primavera,Sitio 13,Libellulidae,3
Chaco occidental,primavera,Sitio 14,Libellulidae,1
Chaco occidental,primavera,Sitio 13,Coenagrionidae,2
Chaco occidental,primavera,Sitio 14,Coenagrionidae,1
Chaco occidental,primavera,Sitio 13,Hydrachnidae,12
Chaco occidental,primavera,Sitio 14,Hydrachnidae,15
Chaco occidental,primavera,Sitio 15,Hydrachnidae,11
Chaco occidental,primavera,Sitio 13,Naididae,2
Chaco occidental,primavera,Sitio 14,Naididae,12
Chaco occidental,primavera,Sitio 15,Naididae,4
Chaco occidental,verano,Sitio 13,Caenidae,5
Chaco occidental,verano,Sitio 14,Caenidae,3
Chaco occidental,verano,Sitio 15,Caenidae,26
Chaco occidental,verano,Sitio 13,Baetidae,4
Chaco occidental,verano,Sitio 14,Baetidae,3
Chaco occidental,verano,Sitio 15,Baetidae,7
Chaco occidental,verano,Sitio 14,Hydroptylidae,4
Chaco occidental,verano,Sitio 15,Hydroptylidae,10
Chaco occidental,verano,Sitio 14,Chironomidae,4
Chaco occidental,verano,Sitio 15,Chironomidae,1
Chaco occidental,verano,Sitio 13,Empididae,1
Chaco occidental,verano,Sitio 15,Belostomatidae,1
Chaco occidental,verano,Sitio 15,Libellulidae,1
Chaco occidental,verano,Sitio 15,Coenagrionidae,2
Chaco occidental,otoño,Sitio 13,Caenidae,67
Chaco occidental,otoño,Sitio 14,Caenidae,54
Chaco occidental,otoño,Sitio 15,Caenidae,43
Chaco occidental,otoño,Sitio 13,Baetidae,35
Chaco occidental,otoño,Sitio 14,Baetidae,23
Chaco occidental,otoño,Sitio 15,Baetidae,18
Chaco occidental,otoño,Sitio 13,Hydroptylidae,10
Chaco occidental,otoño,Sitio 14,Hydroptylidae,17
Chaco occidental,otoño,Sitio 15,Hydroptylidae,11
Chaco occidental,otoño,Sitio 13,Hydropsychidae,7
Chaco occidental,otoño,Sitio 14,Hydropsychidae,11
Chaco occidental,otoño,Sitio 15,Hydropsychidae,9
Chaco occidental,otoño,Sitio 13,Limnephilidae,15
Chaco occidental,otoño,Sitio 14,Limnephilidae,12
Chaco occidental,otoño,Sitio 15,Limnephilidae,11
Chaco occidental,otoño,Sitio 13,Polycentropodidae,2
Chaco occidental,otoño,Sitio 14,Polycentropodidae,8
Chaco occidental,otoño,Sitio 15,Polycentropodidae,9
Chaco occidental,otoño,Sitio 13,Chironomidae,100
Chaco occidental,otoño,Sitio 14,Chironomidae,105
Chaco occidental,otoño,Sitio 15,Chironomidae,134
Chaco occidental,otoño,Sitio 13,Ceratopogonidae,34
Chaco occidental,otoño,Sitio 14,Ceratopogonidae,16
Chaco occidental,otoño,Sitio 15,Ceratopogonidae,23
Chaco occidental,otoño,Sitio 13,Empididae,15
Chaco occidental,otoño,Sitio 14,Empididae,17
Chaco occidental,otoño,Sitio 15,Empididae,13
Chaco occidental,otoño,Sitio 13,Simulidae,13
Chaco occidental,otoño,Sitio 14,Simulidae,8
Chaco occidental,otoño,Sitio 15,Simulidae,10
Chaco occidental,otoño,Sitio 13,Elmidae,17
Chaco occidental,otoño,Sitio 14,Elmidae,19
Chaco occidental,otoño,Sitio 15,Elmidae,5
Chaco occidental,otoño,Sitio 13,Corixidae,19
Chaco occidental,otoño,Sitio 14,Corixidae,13
Chaco occidental,otoño,Sitio 15,Corixidae,10
Chaco occidental,otoño,Sitio 13,Veliidae,12
Chaco occidental,otoño,Sitio 14,Veliidae,14
Chaco occidental,otoño,Sitio 15,Veliidae,15
Chaco occidental,otoño,Sitio 13,Crambidae,1
Chaco occidental,otoño,Sitio 14,Crambidae,2
Chaco occidental,otoño,Sitio 15,Crambidae,1
Chaco occidental,otoño,Sitio 13,Gripopterygidae,3
Chaco occidental,otoño,Sitio 14,Gripopterygidae,4
Chaco occidental,otoño,Sitio 13,Coenagrionidae,5
Chaco occidental,otoño,Sitio 14,Coenagrionidae,8
Chaco occidental,otoño,Sitio 15,Coenagrionidae,2
Chaco occidental,otoño,Sitio 13,Hydrachnidae,9
Chaco occidental,otoño,Sitio 14,Hydrachnidae,5
Chaco occidental,otoño,Sitio 15,Hydrachnidae,3
