# Diccionario español → inglés de la interfaz de Kenti. Una entrada por línea: texto en español, TAB, texto en inglés.
# {0}, {1}… marcan partes variables (números, nombres); en inglés pueden ir en otro orden.
# Las líneas que empiezan con # se ignoran. Los espacios dentro del texto se comparan colapsados.
# ---------- Encabezado, pestañas y botones generales ----------
Kenti Macroinvertebrados	Kenti Macroinvertebrates
Quitar columna	Remove column
Quitar fila	Remove row
Valor de una taxón nueva	Value for a new taxon
Valor en un sitio nuevo	Value at a new site
+ sitio	+ site
+ taxón	+ taxon
Celda A1	Cell A1
Estado del sitio	Site status
Relevado	Surveyed
No relevado	Not surveyed
No aplicable	Not applicable
Estado para {0}	Status for {0}
Total	Total
Sin familia: sin ella el taxón no entra en el BMWP', el ASPT' ni el ABI	No family: without it the taxon is left out of the BMWP', the ASPT' and the ABI
Se completa sola desde el nombre del taxón. En azul, propuesta de Kenti; en ámbar, grafía corregida o género ambiguo. Escribe encima para cambiarla; bórrala para volver a la propuesta.	Filled in automatically from the taxon name. Blue: Kenti's proposal; amber: corrected spelling or ambiguous genus. Type over it to change it; clear it to go back to the proposal.
Haz clic aquí y pega tu tabla de Excel (Ctrl+V)	Click here and paste your Excel table (Ctrl+V)
Copia la tabla en Excel y pégala en la celda A1: la primera fila son los sitios y la primera columna, las especies	Copy the table in Excel and paste it into cell A1: the first row holds the sites and the first column the species
Clic en A1 y Ctrl+V pega la tabla entera · Enter o flechas para moverte · escribe en «+ sitio» o «+ taxón» para agregar	Click A1 and Ctrl+V pastes the whole table · Enter or arrow keys to move · type in «+ site» or «+ taxon» to add
Pegar tabla en A1	Paste table in A1
Esta tabla se guardó con la versión anterior, que traía datos de ejemplo, y pueden estar mezclados con los tuyos. Si es así, vacíala y vuelve a pegar tus planillas.	This table was saved with the previous version, which came with example data, and it may be mixed with yours. If so, clear it and paste your spreadsheets again.
Copia la tabla desde Excel y pégala aquí.	Copy the table from Excel and paste it here.
Primera fila:	First row:
Primera columna:	First column:
los sitios, con el código o el nombre que uses.	the sites, with the code or name you use.
cuentan como 1.	count as 1.
Todavía no hay datos.	No data yet.
Copia tu tabla en Excel —primera fila: los sitios; primera columna: {0}— y usa «Pegar tabla desde Excel».	Copy your table in Excel —first row: the sites; first column: {0}— and use «Paste table from Excel».
La tabla está vacía. Pega una planilla o agrega {0} y sitios.	The table is empty. Paste a spreadsheet or add {0} and sites.
{0} {1} · {2} sitios en el análisis · en {3}	{0} {1} · {2} sites in the analysis · in {3}
{0} {1} · {2} sitios en el análisis · en {3}{4}	{0} {1} · {2} sites in the analysis · in {3}{4}
· {0} fuera del análisis (NA)	· {0} outside the analysis (NA)
{0} pasó a {1}	{0} became {1}
La especie	The species
la fila	the row
Se quitó {0}	Removed {0}
Se pegaron {0} celdas	{0} cells pasted
Se pegó 1 celda	1 cell pasted
La tabla ya está vacía	The table is already empty
La tabla de {0} ya está vacía	The {0} table is already empty
Se vació la tabla de {0}{1}	The {0} table was cleared{1}
Se vació la tabla (las tablas de puntaje siguen cargadas)	The table was cleared (the score tables are still loaded)
Se vació la tabla, con todas sus medidas	The table was cleared, with all its measures
Se restauró la tabla de ejemplo	The example table was restored
Deshacer	Undo
Guardando…	Saving…
Guardado a las {0}	Saved at {0}
No se pudo guardar. Cierra la ventana y vuelve a abrir Kenti; si sigue, avisa.	Could not save. Close the window and open Kenti again; if it persists, let us know.
Datos cargados desde el archivo	Data loaded from file
Todavía no hay datos guardados	No saved data yet
Todavía no hay datos propios guardados	None of your own data saved yet
Tabla anterior descartada	Previous table discarded
Entendido	Got it
Cada medida tiene su propia tabla. Elige cuál ver, cargar y analizar.	Each measure has its own table. Choose which one to view, load and analyse.
Medida: {0}	Measure: {0}
Tabla de {0}	{0} table
{0} nombres repetidos sumados	{0} repeated names added together
1 fila sin nombre no se cargó	1 row without a name was not loaded
{0} filas sin nombre no se cargaron	{0} rows without a name were not loaded
1 celda no numérica tomada como 0	1 non-numeric cell taken as 0
{0} celdas no numéricas tomadas como 0	{0} non-numeric cells taken as 0
, con la columna {0}	, with the {0} column
Tabla pegada{0}: {1} {2} y {3} sitios{4}	Table pasted{0}: {1} {2} and {3} sites{4}
Tabla pegada{0}: {1} {2} y {3} sitios	Table pasted{0}: {1} {2} and {3} sites
Se pegaron {0} valores de {1}	{0} values of {1} pasted
Se quitó la fila {0}	Row {0} removed
Se quitó la columna {0}{1}	Column {0} removed{1}
de esta tabla	from this table
no se tomó la columna	column not used
no se tomaron las columnas	columns not used
(no son sitios)	(they are not sites)
{0} {1} (no son sitios)	{0} {1} (they are not sites)
Elige {0} para cargar una tabla	Choose {0} to load a table
Para cargar una tabla, elige primero {0}	To load a table, first choose {0}
en la tabla de {0}	in the {0} table
# ---------- Diálogo de carga ----------
La tabla que cargues reemplaza la actual.	The table you load replaces the current one.
Primera fila	First row
los sitios.	the sites.
taxones. La celda A1 puede tener cualquier cosa o estar vacía.	taxa. Cell A1 may hold anything or be empty.
taxones. La celda de arriba a la izquierda puede tener cualquier cosa o estar vacía. Las filas y columnas de Total, Familia u Orden se ignoran;	taxa. The top-left cell may hold anything or be empty. Total, Family and Order rows and columns are ignored;
Elegir archivo…	Choose file…
Hoja	Sheet
o pega aquí la tabla copiada. Lo que leas del archivo también aparece aquí y lo puedes revisar antes de cargar.	or paste the copied table here. What is read from the file also appears here so you can check it before loading.
Cancelar	Cancel
Copia la tabla completa con su fila de encabezados: primera columna	Copy the whole table with its header row: first column
, una columna	, a column
opcional y una columna por sitio. Las filas de TOTAL se ignoran;	(optional) and one column per site. TOTAL rows are ignored;
Reemplazar tabla	Replace table
Cargar desde Excel	Load from Excel
Vaciar	Clear
Excel (.xlsx) o CSV	Excel (.xlsx) or CSV
La hoja «{0}» está vacía.	Sheet «{0}» is empty.
Cargar fisicoquímicos de Excel	Load physicochemical data from Excel
Cargar la tabla de puntajes del {0}	Load the {0} score table
Los fisicoquímicos que cargues reemplazan los actuales. Primera fila: las variables (pH, Temperatura, Conductividad, OD, TDS, en cualquier orden). Primera columna: los sitios, con el mismo nombre que en la tabla de la pestaña 1.	The physicochemical data you load replace the current ones. First row: the variables (pH, Temperature, Conductivity, DO, TDS, in any order). First column: the sites, with the same name as in the tab 1 table.
Reemplaza la tabla de puntajes del {0} que haya cargada. Hace falta una columna con la familia (o el grupo, como «Oligochaeta» u «Odonata (varias fam.)») y otra con el puntaje, de 0 a 10; conviene que la primera fila diga «Familia» y «Puntaje». Una columna «Orden» es opcional. Si el archivo trae columnas ABI y BMWP juntas, se toma la del {1}.	Replaces the {0} score table currently loaded. It needs one column with the family (or the group, such as «Oligochaeta» or «Odonata (varias fam.)») and another with the score, from 0 to 10; ideally the first row says «Family» and «Score». An «Order» column is optional. If the file has ABI and BMWP columns together, the {1} one is used.
la otra tabla no cambia.	the other table does not change.
la otra clase no cambia.	the other class does not change.
Si trae columnas «{0}» junto al taxón, se toman también.	If it has «{0}» columns next to the taxon, they are read too.
Se carga en la tabla de {0}; {1}{2}	It is loaded into the {0} table; {1}{2}
Se carga en la tabla de {0}; {1}	It is loaded into the {0} table; {1}
Cargar puntajes	Load scores
Cargar fisicoquímicos	Load physicochemical data
Cargar tabla	Load table
los archivos .xls antiguos no se pueden leer: en Excel usa «Guardar como» → Libro de Excel (.xlsx)	old .xls files cannot be read: in Excel use «Save as» → Excel Workbook (.xlsx)
el archivo no tiene hojas	the file has no sheets
No se pudo leer el archivo: {0}	Could not read the file: {0}
No se pudo leer el archivo:	Could not read the file:
no es un archivo .xlsx válido	not a valid .xlsx file
formato de compresión no soportado	unsupported compression format
Elige un archivo o pega una tabla.	Choose a file or paste a table.
No se encontraron filas con una familia y un puntaje de 0 a 10. Revisa que haya una columna de familias y otra de puntajes.	No rows with a family and a score from 0 to 10 were found. Check that there is a column of families and another of scores.
Haz clic en la celda A1 (arriba a la izquierda) y pega con Ctrl+V	Click cell A1 (top left) and paste with Ctrl+V
Se reemplazan sólo los {0}; el resto de la tabla no cambia. Si traes las dos clases juntas, agrega una columna Clase.	Only the {0} are replaced; the rest of the table does not change. If you bring both classes together, add a Class column.
Se carga en la tabla de {0} y la reemplaza entera; la otra medida no cambia. Especies y sitios se reconocen por su nombre.	It is loaded into the {0} table and replaces it entirely; the other measure does not change. Species and sites are matched by name.
Se cargaron {0} {1} y {2} sitios{3}	{0} {1} and {2} sites loaded{3}
Se cargaron {0} {1} y {2} sitios	{0} {1} and {2} sites loaded
· {0} nombres repetidos sumados	· {0} repeated names added together
No se reconocen columnas. Copia las celdas directamente desde Excel (van separadas por tabulaciones).	No columns recognised. Copy the cells straight from Excel (they are separated by tabs).
No se reconocen columnas. Copia las celdas directamente desde Excel (separadas por tabulaciones).	No columns recognised. Copy the cells straight from Excel (separated by tabs).
Falta la fila de sitios: desde la segunda columna, un código o nombre por sitio.	The site row is missing: from the second column on, one code or name per site.
La primera fila no tiene sitios: desde la segunda columna tiene que haber un código o nombre por sitio.	The first row has no sites: from the second column on there must be one code or name per site.
Debajo de la fila de sitios no hay filas con {0}: el nombre va en la primera columna.	There are no rows of {0} under the site row: the name goes in the first column.
Hacen falta al menos la fila de encabezados y {0}.	At least the header row and {0} are needed.
No se encontraron columnas de sitios en el encabezado.	No site columns found in the header.
No se encontraron filas de {0} debajo del encabezado.	No rows of {0} found under the header.
# ---------- Familia automática ----------
grupo por encima de familia: los índices lo puntúan como grupo	group above family: the indices score it as a group
{0} es una subfamilia o tribu de {1}	{0} is a subfamily or tribe of {1}
{0} es un orden o una clase: el BMWP' y el ABI necesitan la familia	{0} is an order or a class: the BMWP' and the ABI need the family
el nombre ya es una familia	the name is already a family
escrito «{0}»; la grafía aceptada es {1}	written «{0}»; the accepted spelling is {1}
escrito «{0}»: ¿{1}?	written «{0}»: {1}?
familia de la tabla de puntaje, que no está en la lista incorporada	family from the score table, not in the built-in list
familia que no está en la lista incorporada: revisa la grafía	family not in the built-in list: check the spelling
hoy Planorbidae (Ancylinae); va como Ancylidae porque así lo puntúan el BMWP' y el ABI	now Planorbidae (Ancylinae); kept as Ancylidae because that is how the BMWP' and the ABI score it
el género {0} existe en más de una familia ({1}): elige	the genus {0} exists in more than one family ({1}): choose
(por el género)	(from the genus)
GBIF no reconoce «{0}»: revisa la grafía	GBIF does not recognise «{0}»: check the spelling
género escrito «{0}»: ¿{1}?	genus written «{0}»: {1}?
no está en la lista incorporada	not in the built-in list
no está en la lista incorporada. Busca en GBIF (abajo) o escríbela.	not in the built-in list. Look it up in GBIF (below) or type it.
No queda nada por buscar en GBIF	Nothing left to look up in GBIF
No se pudo consultar GBIF ({0}): sin internet o la red lo bloquea. Escribe esas familias a mano o reintenta más tarde.	Could not query GBIF ({0}): no internet or the network blocks it. Type those families by hand or try again later.
familia encontrada	family found
familias encontradas	families found
GBIF: {0} {1} de {2}	GBIF: {0} {1} of {2}
lista de géneros de Sudamérica (GBIF)	list of South American genera (GBIF)
consulta a GBIF	GBIF query
grupo que los índices puntúan entero	group the indices score as a whole
grafía corregida	corrected spelling
género en más de una familia	genus in more than one family
rango superior a familia	rank above family
¿cuál?	which?
falta familia	family missing
buscar en GBIF	look up in GBIF
sin familia	no family
{0} sin familia	{0} without family
Escrita por ti: Kenti no la cambia	Typed by you: Kenti does not change it
Propuesta de Kenti: {0}. Si está bien, déjala o usa «Aceptar propuestas»; si no, escribe la correcta.	Kenti's proposal: {0}. If it is right, leave it or use «Accept proposals»; if not, type the correct one.
Propuesta de Kenti · {0}. Escribe encima para cambiarla; bórrala para volver a la propuesta.	Kenti's proposal · {0}. Type over it to change it; clear it to go back to the proposal.
Consultando GBIF…	Querying GBIF…
Buscar {0} en GBIF	Look up {0} in GBIF
Nada que buscar	Nothing to look up
con familia	with family
{#0} de {#1}	{0} of {1}
{0} {1} de Kenti	{0} {1} from Kenti
{0} {1} por ti	{0} {1} by you
propuesta de Kenti	proposal from Kenti
propuestas de Kenti	proposals from Kenti
escrita por ti	typed by you
escritas por ti	typed by you
Sin conexión con GBIF ({0})	No connection to GBIF ({0})
Nada para revisar: todas las familias salen de la lista incorporada, del propio nombre o las escribiste tú.	Nothing to review: every family comes from the built-in list, from the name itself or was typed by you.
Por qué	Why
familia aceptada	family accepted
familias aceptadas	families accepted
{0} {1}: ahora cuentan como escritas por ti	{0} {1}: they now count as typed by you
Al pegar, lo que no esté en la lista se buscará en GBIF	On paste, whatever is not in the list will be looked up in GBIF
Ya no se consulta GBIF al pegar: usa el botón cuando quieras	GBIF is no longer queried on paste: use the button whenever you want
Buscar 1 en GBIF	Look up 1 in GBIF
# ---------- Pestaña 2 · alfa ----------
Resultados ecológicos por sitio	Ecological results by site
Riqueza, abundancia e índices de diversidad calculados sobre los sitios relevados.	Richness, abundance and diversity indices computed over the surveyed sites.
Riqueza, {0} e índices de diversidad calculados sobre los sitios relevados{1}.	Richness, {0} and diversity indices computed over the surveyed sites{1}.
, con la tabla de	, with the table of
Índices por sitio	Indices by site
La última fila agrupa todos los sitios relevados (diversidad gamma).	The last row pools all surveyed sites (gamma diversity).
Copiar tabla para Excel	Copy table for Excel
Fórmulas	Formulas
Dominancia de Simpson	Simpson's dominance
Simpson (diversidad)	Simpson (diversity)
Equitatividad de Pielou	Pielou's evenness
Variables fisicoquímicas	Physicochemical variables
opcional	optional
Un valor por sitio. Los sitios son los de la tabla de la pestaña 1. Se usan en la pestaña 4 para correlacionarlos con la comunidad.	One value per site. The sites are those in the tab 1 table. They are used in tab 4 to correlate them with the community.
Los sitios son los de la tabla de la pestaña 1; se usan en la pestaña 4 para correlacionarlos con la comunidad.	The sites are those in the tab 1 table; they are used in tab 4 to correlate them with the community.
Para pegar una tabla, haz clic en la celda de arriba a la izquierda y usa Ctrl+V: primera columna, los sitios; primera fila, las variables ({0}, en cualquier orden). Un valor como «<0,01» (bajo el límite de detección) se guarda tal cual, pero no entra en las correlaciones.	To paste a table, click the top-left cell and use Ctrl+V: first column, the sites; first row, the variables ({0}, in any order). A value such as «<0.01» (below the detection limit) is stored as is, but it is left out of the correlations.
Primero carga la tabla de {0} en la pestaña 1: los sitios salen de ahí.	First load the {0} table in tab 1: the sites come from there.
No es un número (por ejemplo, bajo el límite de detección): no entra en las correlaciones	Not a number (for example, below the detection limit): left out of the correlations
No se reconocen las columnas: la primera fila tiene que traer {0}	Columns not recognised: the first row must contain {0}
Fisicoquímicos cargados: {0} valores de {1} variables	Physicochemical data loaded: {0} values of {1} variables
· sitios que no están en la tabla: {0}	· sites not in the table: {0}
· columnas ignoradas: {0}	· columns ignored: {0}
Se pegó 1 valor	1 value pasted
Se pegaron {0} valores	{0} values pasted
Se vaciaron los fisicoquímicos	Physicochemical data cleared
Celda A1 de fisicoquímicos	Cell A1 of physicochemical data
Haz clic aquí y pega tu tabla de fisicoquímicos (Ctrl+V)	Click here and paste your physicochemical table (Ctrl+V)
Los sitios salen de la tabla de la pestaña 1	Sites come from the tab 1 table
Un valor por sitio. Escríbelo o pega una columna de valores.	One value per site. Type it or paste a column of values.
Unidad de {0}	Unit of {0}
Se carga en la pestaña 2, Diversidad alfa	It is loaded in tab 2, Alpha diversity
Fisicoquímicos	Physicochemical data
Temperatura	Temperature
Conductividad	Conductivity
OD	DO
{0} en Sitio {1}	{0} at Site {1}
Altitud (m s.n.m.)	Altitude (m a.s.l.)
Altitud (m s.n.m.) de {0}	Altitude (m a.s.l.) of {0}
Altitud (m s.n.m.): un valor por sitio. El ABI está calibrado para los Andes desde 2000 m; bajo esa altitud se calcula igual y se marca.	Altitude (m a.s.l.): one value per site. The ABI is calibrated for the Andes from 2000 m; below that altitude it is still computed and flagged.
Altitud	Altitude
altitud	altitude
Alt (m)	Alt (m)
Promedio de los sitios con altitud	Mean of the sites with altitude
Cada eje y se ajusta al rango de su propia variable, para comparar la forma de las curvas y no su magnitud. La r de Pearson resume cuánto se mueven juntas entre sitios: cerca de 1, en el mismo sentido; cerca de −1, en sentido opuesto.	Each y axis fits the range of its own variable, to compare the shape of the curves rather than their magnitude. Pearson's r summarises how much they move together across sites: close to 1, in the same direction; close to −1, in opposite directions.
Riqueza (S)	Richness (S)
Riqueza	Richness
Riqueza total	Total richness
Abundancia (N)	Abundance (N)
Abundancia	Abundance
Abundancia total	Total abundance
Shannon (H′)	Shannon (H′)
Shannon medio por sitio	Mean Shannon per site
H′ gamma {0}	Gamma H′ {0}
Sitios en el análisis	Sites in the analysis
Dominancia (D)	Dominance (D)
Dominancia	Dominance
Simpson (1 − D)	Simpson (1 − D)
Pielou (J′)	Pielou (J′)
Margalef (DMg)	Margalef (DMg)
Menhinick (DMn)	Menhinick (DMn)
Total (γ)	Total (γ)
No hay sitios relevados.	There are no surveyed sites.
Invertir eje de dominancia	Invert dominance axis
Riqueza y abundancia	Richness and abundance
Riqueza y diversidad	Richness and diversity
Riqueza y	Richness and
Shannon y	Shannon and
Shannon y abundancia	Shannon and abundance
Shannon y dominancia	Shannon and dominance
Margalef y Shannon	Margalef and Shannon
Margalef y Menhinick	Margalef and Menhinick
Abundancia y diversidad	Abundance and diversity
y diversidad	and diversity
{0} y {1} por sitio	{0} and {1} by site
{0} en x · {1} en y	{0} on x · {1} on y
r —	r —
Diversidad	Diversity
Índice de diversidad en los gráficos	Diversity index in the charts
Shannon H′	Shannon H′
Simpson 1 − D	Simpson 1 − D
presente	present
# ---------- Pestaña 3 · beta ----------
Similitud entre sitios	Similarity between sites
Cuánto se parecen los sitios en su composición de	How similar the sites are in their composition of
. Menhinick mide riqueza dentro de cada sitio (diversidad alfa), por eso quedó en la pestaña 2 junto a Margalef.	. Menhinick measures richness within each site (alpha diversity), which is why it is in tab 2 next to Margalef.
· sólo presencia o ausencia: especies compartidas sobre el total de ambos sitios.	· presence or absence only: shared species over the total of both sites.
· usa abundancias; pesa las especies dominantes y es poco sensible a la riqueza y al tamaño de muestra.	· uses abundances; weights the dominant species and is fairly insensitive to richness and sample size.
· usa abundancias; compara las cantidades especie por especie.	· uses abundances; compares quantities species by species.
Índice del cluster	Cluster index
Presencia / ausencia	Presence / absence
escala roja	red scale
escala azul	blue scale
escala verde	green scale
Similitud	Similarity
Similitud:	Similarity:
Similitud · {0}	Similarity · {0}
Similitud ({0})	Similarity ({0})
Similitud {0}	Similarity {0}
Hacen falta al menos dos sitios relevados con registros.	At least two surveyed sites with records are needed.
Copiar matriz	Copy matrix
Matriz de {0} copiada	{0} matrix copied
{0} · ligamiento promedio · correlación cofenética {1}	{0} · average linkage · cophenetic correlation {1}
Mapa de calor de similitud {0}	{0} similarity heat map
Mapa de calor de {0}	{0} heat map
Dendrograma UPGMA	UPGMA dendrogram
Dendrograma UPGMA de {0}	UPGMA dendrogram of {0}
Correlación de Pearson entre sitios	Pearson correlation across sites
# ---------- Pestaña 4 · correlación y PCA ----------
Correlación y componentes principales	Correlation and principal components
Cada punto es un sitio de monitoreo. La recta resume la tendencia entre sitios y la banda sombreada es su intervalo de confianza del 95 %.	Each point is a monitoring site. The line summarises the trend across sites and the shaded band is its 95% confidence interval.
Correlación con variables fisicoquímicas	Correlation with physicochemical variables
Variable fisicoquímica	Physicochemical variable
Variable de la comunidad	Community variable
Variables del PCA	PCA variables
Puntajes por sitio y matriz de correlación	Site scores and correlation matrix
El PCA trabaja con las variables estandarizadas (media 0, desvío 1), así la abundancia no pesa más sólo por tener números grandes. Las flechas muestran la correlación de cada variable con los dos ejes, escaladas para verse junto a los sitios: sitios hacia donde apunta una flecha tienen valores altos de esa variable. Qué variables entran lo decides tú; si dos están muy correlacionadas, el primer eje queda dominado por ellas.	The PCA works on standardised variables (mean 0, SD 1), so abundance does not weigh more just for having large numbers. The arrows show the correlation of each variable with the two axes, scaled to be seen next to the sites: sites towards which an arrow points have high values of that variable. You choose which variables go in; if two are strongly correlated, the first axis is dominated by them.
Todavía no hay variables fisicoquímicas con valores en al menos 3 sitios. Se cargan en la pestaña 2, Diversidad alfa (son opcionales).	There are no physicochemical variables with values in at least 3 sites yet. They are loaded in tab 2, Alpha diversity (optional).
r de Pearson entre cada variable fisicoquímica y la comunidad ({0} sitios). En negrita y con *, p < 0,05. Haz clic en una celda para ver su gráfico.	Pearson's r between each physicochemical variable and the community ({0} sites). In bold and with *, p < 0.05. Click a cell to see its chart.
Con {0} sitios, |r| tiene que superar {1} para que p < 0,05.	With {0} sites, |r| must exceed {1} for p < 0.05.
Con {0} sitios, |r| tiene que superar {1} para que p < 0,05: con pocos sitios, tómalo como orientativo.	With {0} sites, |r| must exceed {1} for p < 0.05: with few sites, take it as a rough guide.
Muchas correlaciones a la vez: alguna puede salir significativa por azar. Una correlación no demuestra causa. Los valores bajo el límite de detección no entran.	Many correlations at once: some may come out significant by chance. A correlation does not prove causation. Values below the detection limit are left out.
Hacen falta al menos 3 sitios con valores.	At least 3 sites with values are needed.
Una de las variables no cambia entre sitios.	One of the variables does not vary across sites.
Elige al menos dos variables.	Choose at least two variables.
Hacen falta al menos 3 sitios con valores en todas las variables elegidas.	At least 3 sites with values in all the chosen variables are needed.
Hacen falta al menos dos variables que cambien entre sitios.	At least two variables that vary across sites are needed.
r de Pearson = {0} · p {1} · n = {2}	Pearson's r = {0} · p {1} · n = {2}
r de Pearson — · n = {0}	Pearson's r — · n = {0}
r de Pearson =	Pearson's r =
r de Pearson	Pearson's r
No hay sitios con valores.	There are no sites with values.
Residuo: {0}{1}	Residual: {0}{1}
CP 1	PC 1
CP 2	PC 2
CP 3	PC 3
CP 4	PC 4
CP {0}	PC {0}
CP 1 · {0} % de la varianza	PC 1 · {0}% of variance
CP 2 · {0} % de la varianza	PC 2 · {0}% of variance
El PCA necesita al menos dos variables	The PCA needs at least two variables
La r de Pearson mide cuánto se alinean los sitios sobre la recta: cerca de 1 o −1, mucho; cerca de 0, nada.	Pearson's r measures how closely the sites line up along the line: close to 1 or −1, a lot; close to 0, not at all.
La pendiente dice cuánto cambia la diversidad por cada unidad más en el eje x.	The slope tells how much diversity changes for each extra unit on the x axis.
La r de Pearson mide cuánto se alinean los sitios sobre la recta: cerca de 1 o −1, mucho; cerca de 0, nada. La pendiente dice cuánto cambia la diversidad por cada unidad más en el eje x.	Pearson's r measures how closely the sites line up along the line: close to 1 or −1, a lot; close to 0, not at all. The slope tells how much diversity changes for each extra unit on the x axis.
La r de Pearson mide cuánto se alinean los sitios sobre la recta: cerca de 1 o −1, mucho; cerca de 0, nada. Con {0} sitios, |r| tiene que superar {1} para que p < 0,05: con pocos sitios, tómalo como orientativo. La pendiente dice cuánto cambia la diversidad por cada unidad más en el eje x.	Pearson's r measures how closely the sites line up along the line: close to 1 or −1, a lot; close to 0, not at all. With {0} sites, |r| must exceed {1} for p < 0.05: with few sites, take it as a rough guide. The slope tells how much diversity changes for each extra unit on the x axis.
(por ejemplo, la {0})	(for example, {0})
(por ejemplo, un fisicoquímico vacío o bajo el límite de detección)	(for example, an empty physicochemical value or one below the detection limit)
Quedan fuera {0}: les falta algún valor en las variables elegidas{1}, o tienen una sola {2} y Pielou no se puede calcular.	{0} are left out: they lack some value in the chosen variables{1}, or they have a single {2} and Pielou cannot be computed.
{0} no cambia entre sitios y no entra.	{0} does not vary across sites and is left out.
{t0} y {t1} están muy correlacionadas (r = {#2})	{0} and {1} are strongly correlated (r = {2})
: el primer eje queda dominado por ellas.	: the first axis is dominated by them.
{0} sitios · {1} variables estandarizadas · CP 1 y CP 2 explican {2} % de la varianza	{0} sites · {1} standardised variables · PC 1 and PC 2 explain {2}% of the variance
Autovalor:	Eigenvalue:
Varianza:	Variance:
